Time_Stamp,Gender,Faculty,Clothing_Buy_Rate,Is_In_Fashion,Same_Cloth_Freq,Cloth_Retain_Knowledge,Damaged_Case,Online_Shopping_Rate,Shopping_Method,Things_Retain_Knowledge,Second_Hand_Market_Interest,Interest_Category
"5/9/2024, 16:53:39",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,เป็นประจำ,"ออนไลน์, ไปซื้อที่ร้าน",ไม่รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 17:05:14",ชาย,คณะวิทยาศาสตร์,1-3 ชิ้น,ใช่คับ✅,4-6 ครั้ง,น้อย,ทิ้ง,ไม่ค่อยซื้อ,"ออนไลน์, ไปซื้อที่ร้าน",รู้,เฉยๆ,เสื้อผ้า
"5/9/2024, 17:10:15",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ไม่ค่อยซื้อ,ไปซื้อที่ร้าน,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 17:14:44",LGBTQI+,คณะครุศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,ทิ้ง,ไม่ค่อยซื้อ,ออนไลน์,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 17:16:39",หญิง,คณะสัตวแพทยศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ไม่ค่อยซื้อ,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 18:09:00",ชาย,คณะวิศวกรรมศาสตร์,ไม่ได้ซื้อ,,1-3 ครั้ง,น้อย,ทิ้งบ้างซ่อมบ้างตามความเสียหายงับอ้วง,ซื้อบ้างแต่ไม่บ่อย,ออนไลน์,ไม่รู้,เฉยๆ,อ่ะไรขาดก็ซื้ออันนั้น
"5/9/2024, 18:54:11",หญิง,คณะสัตวแพทยศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,เป็นประจำ,ออนไลน์,รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 18:57:26",หญิง,คณะวิศวกรรมศาสตร์,"ไม่ได้ซื้อ, 1-3 ชิ้น, 4-6 ชิ้น",ใช่คับ✅,"1-3 ครั้ง, 4-6 ครั้ง, มากกว่า 10 ครั้ง",ปานกลาง,"ซ่อม, ทิ้ง, ส่งต่อให้ผู้อื่น",ซื้อบ้างแต่ไม่บ่อย,"ออนไลน์, ไปซื้อที่ร้าน",รู้,"ชอบบบบบบ, เฉยๆ",เสื้อผ้า
"5/9/2024, 18:59:54",LGBTQI+,คณะอักษรศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ส่งต่อให้ผู้อื่น,ไม่ค่อยซื้อ,"ออนไลน์, ไปซื้อที่ร้าน",ไม่รู้,เฉยๆ,หนังสือ
"5/9/2024, 19:39:44",ชาย,คณะวิศวกรรมศาสตร์,ไม่ได้ซื้อ,ไม่❌,มากกว่า 10 ครั้ง,น้อย,"ทิ้ง, ส่งต่อให้ผู้อื่น",ไม่ซื้อเลย,ไปซื้อที่ร้าน,ไม่รู้,เฉยๆ,สิ่งของเครื่องใช้
"5/9/2024, 20:35:06",หญิง,คณะพาณิชยศาสตร์และการบัญชี,มากกว่า 10 ชิ้น,ใช่คับ✅,1-3 ครั้ง,ปานกลาง,ถ้าชอบมากเกบไว้ซ่อม แต่ถ้าไม่มากก็ขายต่อ,เป็นประจำ,ออนไลน์,ไม่รู้,ชอบบบบบบ,เสื้อผ้า
"5/9/2024, 21:34:34",ชาย,คณะครุศาสตร์,ไม่ได้ซื้อ,ไม่❌,มากกว่า 10 ครั้ง,มาก,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,ไปซื้อที่ร้าน,รู้,เฉยๆ,เสื้อผ้า
"6/9/2024, 0:16:22",หญิง,คณะสหเวชศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,"ซ่อม, ทิ้ง",ซื้อบ้างแต่ไม่บ่อย,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เสื้อผ้า
"6/9/2024, 1:41:44",หญิง,คณะวิศวกรรมศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,น้อย,"ซ่อม, ส่งต่อให้ผู้อื่น",เป็นประจำ,"ออนไลน์, ไปซื้อที่ร้าน","รู้, ไม่รู้",ไม่!,
"6/9/2024, 6:54:18",หญิง,คณะรัฐศาสตร์,4-6 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ซื้อบ้างแต่ไม่บ่อย,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เสื้อผ้า
"6/9/2024, 8:25:48",หญิง,คณะวิทยาศาสตร์,1-3 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,น้อย,"ซ่อม, ส่งต่อให้ผู้อื่น",เป็นประจำ,ไปซื้อที่ร้าน,ไม่รู้,ชอบบบบบบ,สิ่งของเครื่องใช้
"6/9/2024, 8:29:36",หญิง,คณะนิเทศศาสตร์,ไม่ได้ซื้อ,ไม่❌,มากกว่า 10 ครั้ง,น้อย,"ซ่อม, ส่งต่อให้ผู้อื่น",ซื้อบ้างแต่ไม่บ่อย,ออนไลน์,ไม่รู้,ชอบบบบบบ,เสื้อผ้า
"6/9/2024, 9:50:42",หญิง,คณะพาณิชยศาสตร์และการบัญชี,1-3 ชิ้น,ไม่❌,ไม่ใส่ซ้ำ,ปานกลาง,ซ่อม,ไม่ค่อยซื้อ,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เครื่องประดับ
"6/9/2024, 10:25:29",หญิง,คณะสัตวแพทยศาสตร์,ไม่ได้ซื้อ,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ไม่ค่อยซื้อ,ออนไลน์,รู้,เฉยๆ,เสื้อผ้า
"6/9/2024, 10:26:45",หญิง,คณะสัตวแพทยศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ใส่นอน,ซื้อบ้างแต่ไม่บ่อย,ออนไลน์,รู้,เฉยๆ,สิ่งของเครื่องใช้
"6/9/2024, 10:41:24",หญิง,คณะสัตวแพทยศาสตร์,4-6 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,ทิ้ง,เป็นประจำ,ออนไลน์,รู้,เฉยๆ,เสื้อผ้า
"6/9/2024, 10:54:10",หญิง,คณะสัตวแพทยศาสตร์,4-6 ชิ้น,ใช่คับ✅,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,เป็นประจำ,"ออนไลน์, ไปซื้อที่ร้าน",รู้,ชอบบบบบบ,เสื้อผ้า
"6/9/2024, 13:04:45",หญิง,คณะครุศาสตร์,1-3 ชิ้น,ไม่❌,มากกว่า 10 ครั้ง,ปานกลาง,ซ่อม,ไม่ค่อยซื้อ,ออนไลน์,รู้,เฉยๆ,เครื่องประดับ
